mode,scenario,wind_scenario,pv_scenario,storage_capacity_mwh,storage_power_mw,日产氨量,设备利用率,常规负荷需求电量,常规负荷缺供电量,常规负荷供电保障率,制氨工艺用电量,离网服务负荷电量,离网需求电量,风电发电量,光伏发电量,新能源可发电量,新能源实际利用电量,弃风弃光电量,弃风弃光率,风光利用率,储能充电量,储能放电量,储能等效吞吐量,储能损耗及自损耗估计,新能源上网电量比例,新能源自发自用比例（离网实际消纳口径）,总用电量绿电比例（离网需求保障口径）,风电成本,光伏成本,碱性电解槽运维成本,PEM电解槽运维成本,合成氨装置运维成本,储能年化投资成本,储能充放电运维成本,日总成本,吨氨成本,能源自治是否满足常规负荷,ammonia_gain_t,curtailment_reduction_mwh
offgrid_storage,W4_PV1,4,1,115.0,115.0,53.8775315160407,0.7482990488338985,60.72,0.0,1.0,745.305852638563,806.025852638563,806.025852638563,367.484,509.44000000000005,876.924,831.8224481605741,45.1015518394258,0.05143154006439076,0.9485684599356092,128.60444816057418,102.80785263856296,231.41230079913714,25.796595522011103,0.0,0.9485684599356092,1.0,55122.6,61132.8,35918.35434402713,53877.5315160407,53.8775315160407,21296.296296296296,2314.1230079913717,229715.58269587156,4263.661979901203,1,7.691107419655154,132.19024816057419
offgrid_storage,W4_PV1,4,1,120.0,120.0,54.19959269486189,0.7527721207619708,60.72,0.0,1.0,749.7610322789228,810.4810322789228,810.4810322789228,367.484,509.44000000000005,876.924,837.4564074682122,39.467592531787794,0.04500685638868111,0.9549931436113189,134.2384074682122,107.2630322789228,241.50143974713498,26.975375189289366,0.0,0.9549931436113189,1.0,55122.6,61132.8,36133.06179657459,54199.59269486189,54.19959269486189,22222.222222222223,2415.0143974713496,231279.4907038249,4267.181342227137,1,8.013168598476348,137.8242074682122
offgrid_storage,W4_PV1,4,1,125.0,125.0,54.521653873683086,0.7572451926900429,60.72,0.0,1.0,754.2162119192826,814.9362119192826,814.9362119192826,367.484,509.44000000000005,876.924,843.0903667758503,33.833633224149764,0.03858217271297144,0.9614178272870286,139.87236677585022,111.71821191928267,251.59057869513288,28.15415485656763,0.0,0.9614178272870286,1.0,55122.6,61132.8,36347.76924912205,54521.653873683084,54.521653873683086,23148.14814814815,2515.9057869513285,232843.39871177825,4270.659126578125,1,8.335229777297542,143.45816677585023
offgrid_storage,W4_PV1,4,1,130.0,130.0,54.84371505250428,0.761718264618115,60.72,0.0,1.0,758.6713915596425,819.3913915596426,819.3913915596426,367.484,509.44000000000005,876.924,848.7243260834882,28.199673916511756,0.03215748903726179,0.9678425109627382,145.50632608348823,116.17339155964254,261.67971764313074,29.332934523845665,0.0,0.9678425109627382,1.0,55122.6,61132.8,36562.47670166952,54843.71505250428,54.84371505250428,24074.074074074073,2616.7971764313074,234407.30671973169,4274.096065434724,1,8.657290956118736,149.09212608348824
offgrid_storage,W4_PV1,4,1,135.0,135.0,55.165776231325474,0.7661913365461871,60.72,0.0,1.0,763.1265712000023,823.8465712000024,823.8465712000024,367.484,509.44000000000005,876.924,854.3607108127518,22.56328918724824,0.02573003953278533,0.9742699604672147,151.14271081275174,120.62857120000237,271.7712820127541,30.51413961274943,0.0,0.9742699604672147,1.0,55122.6,61132.8,36777.18415421698,55165.77623132547,55.165776231325474,25000.0,2717.7128201275414,235971.23898190132,4277.493313832985,1,8.97935213493993,154.72851081275175
offgrid_storage,W4_PV1,4,1,140.0,140.0,55.48783741014667,0.7706644084742593,60.72,0.0,1.0,767.5817508403622,828.3017508403623,828.3017508403623,367.484,509.44000000000005,876.924,860.0059606200042,16.918039379995736,0.019292480739489096,0.9807075192605108,156.78796062000424,125.0837508403622,281.87171146036644,31.70420977964193,0.0,0.9807075192605108,1.0,55122.6,61132.8,36991.891606764446,55487.83741014666,55.48783741014667,25925.925925925927,2818.7171146036644,237535.25989485084,4280.85272343691,1,9.301413313761124,160.37376062000425
offgrid_storage,W4_PV1,4,1,145.0,145.0,55.809624015886314,0.7751336668873099,60.72,0.0,1.0,772.0331322197607,832.7531322197607,832.7531322197607,367.484,509.44000000000005,876.924,865.6512104272568,11.27278957274315,0.012854921946192772,0.9871450780538072,162.43321042725682,129.53513221976067,291.9683426470175,32.898078207496155,0.0,0.9871450780538072,1.0,55122.6,61132.8,37206.416010590874,55809.624015886315,55.809624015886314,26851.85185185185,2919.683426470175,239098.7849288151,4284.185553028546,1,9.62319991950077,166.01901042725683
offgrid_storage,W4_PV1,4,1,150.0,150.0,56.13104107234986,0.7795977926715258,60.72,0.0,1.0,776.4794015008398,837.1994015008398,837.1994015008398,367.484,509.44000000000005,876.924,871.2993906157408,5.624609384259152,0.006414021493606233,0.9935859785063937,168.08139061574084,133.98140150083978,302.0627921165806,34.09998911490095,0.0,0.9935859785063937,1.0,55122.6,61132.8,37420.69404823324,56131.041072349864,56.13104107234986,27777.777777777777,3020.6279211658066,240661.67186059905,4287.497029502789,1,9.944616975964315,171.66719061574085
offgrid_storage,W4_PV1,4,1,155.0,155.0,56.45064246517819,0.7840367009052527,60.72,0.0,1.0,780.9005541016317,841.6205541016317,841.6205541016317,367.484,509.44000000000005,876.924,876.924,0.0,0.0,1.0,173.706,138.40255410163164,312.1085541016316,35.303445898368295,0.0,1.0,1.0,55122.6,61132.8,37633.761643452126,56450.64246517819,56.45064246517819,28703.703703703704,3121.0855410163163,242221.0439958155,4290.846541653278,1,10.264218368792648,177.2918
offgrid_storage,W4_PV1,4,1,160.0,160.0,56.45064246517819,0.7840367009052527,60.72,0.0,1.0,780.9005541016317,841.6205541016317,841.6205541016317,367.484,509.44000000000005,876.924,876.924,0.0,0.0,1.0,173.706,138.40255410163164,312.1085541016316,35.303445898368295,0.0,1.0,1.0,55122.6,61132.8,37633.761643452126,56450.64246517819,56.45064246517819,29629.62962962963,3121.0855410163163,243146.96992174143,4307.24894002274,1,10.264218368792648,177.2918
